Cow_ID,earliest_clinical_Day,latest_clinical_Day,first_positive_day,positive_days,negative_days,total_observation_days
cow1097,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1098,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow1099,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow11,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow110,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow1100,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow111,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow112,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow113,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow114,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow115,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow116,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow117,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow118,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow119,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow12,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow120,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow121,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow122,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow123,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow124,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow125,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow126,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow127,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow128,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow129,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow13,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow130,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow131,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow132,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow133,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow134,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,,0,6,6
cow135,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
cow136,1970-01-01 00:00:00.000000001,1970-01-01 00:00:00.000000006,1970-01-01 00:00:00.000000001,6,0,6
